City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Melilla,ES,35.2937,-2.9383,79.45,84,35,6.6,scattered clouds
237,Caravelas,BR,-17.7125,-39.2481,70.21,91,79,8.19,broken clouds
238,Laguna,US,38.421,-121.4238,92.14,50,0,8.05,clear sky
239,Santa Maria,BR,-29.6842,-53.8069,57.45,81,2,3.67,clear sky
240,Belaya Gora,RU,68.5333,146.4167,68.61,44,100,5.59,overcast clouds
241,Alice Springs,AU,-23.7,133.8833,42.35,65,0,2.3,clear sky
242,Benguela,AO,-12.5763,13.4055,65.8,85,8,5.97,clear sky
243,Dhidhdhoo,MV,6.8833,73.1,77.2,90,100,30.8,heavy intensity rain
244,High Rock,BS,26.6208,-78.2833,87.82,70,63,12.84,broken clouds
245,Nemuro,JP,43.3236,145.575,59.34,91,99,12.97,overcast clouds
246,Manbij,SY,36.5281,37.9549,77.34,60,0,11.52,clear sky
247,Pauini,BR,-7.7136,-66.9764,83.88,59,100,2.21,overcast clouds
248,Luderitz,NA,-26.6481,15.1594,60.48,47,0,14.9,clear sky
249,Karpathos,GR,35.507,27.2132,75.16,88,1,28.77,clear sky
250,Grand Gaube,MU,-20.0064,57.6608,71.38,71,10,5.99,clear sky
251,Garowe,SO,8.4054,48.4845,81.84,43,74,28.74,broken clouds
252,Salisbury,GB,51.0693,-1.7957,71.17,80,71,7.07,broken clouds
253,Khash,IR,28.2211,61.2158,79.86,53,100,2.06,light rain
254,Naze,JP,28.3667,129.4833,80.15,86,100,22.53,overcast clouds
255,Matagami,CA,49.7502,-77.6328,73.89,64,98,2.91,overcast clouds
256,Nanortalik,GL,60.1432,-45.2371,48.85,86,62,7.07,broken clouds
257,Izumo,JP,35.3667,132.7667,79.2,79,100,4.99,overcast clouds
258,Haizhou,CN,34.5817,119.1289,75.11,93,0,5.12,clear sky
259,Husavik,IS,66.0449,-17.3389,42.24,92,100,19.64,light rain
260,Canutama,BR,-6.5339,-64.3831,94.26,36,79,1.54,broken clouds
261,Chernyshevsk,RU,52.5243,117.0174,58.28,84,15,3.76,few clouds
262,Lompoc,US,34.6391,-120.4579,91.54,65,0,16.11,clear sky
263,Karacabey,TR,40.2152,28.4038,75.58,75,0,4.7,clear sky
264,Bethel,US,41.3712,-73.414,87.51,48,20,10.36,few clouds
265,Veselynove,UA,47.3567,31.2349,74.25,30,100,3.89,overcast clouds
266,Souillac,MU,-20.5167,57.5167,70.18,73,75,11.5,broken clouds
267,Tuyen Quang,VN,21.8233,105.2181,75.6,98,84,2.24,broken clouds
268,Saskylakh,RU,71.9167,114.0833,42.98,88,100,10.92,overcast clouds
269,Kloulklubed,PW,7.0419,134.2556,73.9,79,100,5.91,overcast clouds
